game	yearpublished	minplayers	maxplayers	minage	minplaytime	maxplaytime	comments	description
Aliens	1989	1	9	10	90	90	647	Aliens allows players to recreate three key battle scenarios from the 1986 science fiction/horror film.  The scenarios include &quot;The Reactor Room&quot; (nine marines vs. the aliens in their lair), &quot;Operations and Air Ducts&quot; (the surviving marines face an alien assault and pursuit), and &quot;Ripley vs. The Queen&quot; (Ripley uses a powerloader in her final battle with the Alien Queen).  Includes a 17&quot; x 34&quot; game map, character cards, and counters, all featuring photos from the movie.&#10;&#10;Marines can have very short life spans in this game, especially if they don't work together. Game play is fast and intense - does a good job of creating the sense of urgency felt when watching the movie.Missions can be made more brutal with optional rules - plus some rule variants add to some fun &quot;what if&quot; scenarios. Add the Aliens Expansion and you can virtually re-write the entire movie script!&#10;&#10;
Among the Stars	2012	2	4	12	30	30	5301	Among the Stars takes place in a war-ravaged galaxy where the warring alien races have declared peace in the wake of a threat with the potential to destroy them all. An Alliance is established to build space stations throughout the galaxy in order to promote trade among the races, strengthen diplomatic relations, and defend against this impending threat. Each player takes the role of one of those races trying to build the greatest space station. Through card drafting, the players select locations, and use these to build their station, scoring victory points based on the placement. The construction lasts four years, and the alien race with the most points at the end wins.&#10;&#10;
...and then, we held hands.	2015	2	2	12	30	45	1191	...and then we held hands. is a co-operative game about finding balance. To win, the two players must complete objectives and reach the center of the board.&#10;&#10;The players take turns trying to fulfill the current common emotional objective by discarding emotion cards to move from node to node. They must do this without verbal communication, empathizing and always considering each other's situation when making a move.&#10;&#10;A player can use their own cards or their partner's, but if their move causes their partner to be unable to move, the players lose and the game ends. While moving from node to node, their balance shifts, and they are not able to refill their hand.&#10;&#10;The game features a card-splaying mechanism in which players change their &quot;perspective&quot; to reveal a new set of options.&#10;&#10;The players win by meeting in the center while in a balanced state and within one turn of each other - something quite difficult, and therefore very rewarding when achieved.&#10;&#10;...and then we held hands. features art by beloved French illustrator Marie Cardouat, known for the art found in beautiful games such as Dixit, Steam Park, and Marrakech.&#10;&#10;
Android	2008	3	5	13	180	180	3351	From the publisher: Android is a board game of murder and conspiracy set in a dystopian future. Detectives travel between the city of New Angeles and moon colony Heinlein chasing down leads, calling in favors, and uncovering the sinister conspiracy beneath it all. The detectives must balance their pursuit of the murderer against their personal lives and their inner demons. Android&rsquo;s innovative mechanics ensure that no two detectives play alike. Will you play as Louis Blaine, the crooked cop tormented by guilt and loss? Or will you take the role of Caprice Nisei, the psychic clone who struggles to retain her sanity while proving that she&rsquo;s as human as anyone else? Whoever you choose to play, you&rsquo;ve got just two weeks to solve the murder, uncover the conspiracy, and face your personal demons.&#10;&#10;During a round, the players get action points to spend on various actions, like moving their detectives, following leads that appear on locations, solving their personal demons, or doing a location-specific action. In this way, the detectives try to advance on three different sectors: solving the murder, uncovering the conspiracy behind the murder, and finding their inner peace. To solve the murder, the detectives follow leads that appear on New Angeles and Heinlein, and find evidence that they plant on the suspect of their choice. The conspiracy puzzle is also solved by following leads, and may alter the way victory points are distributed at the end of the game. Finally, each detective has his/her own personal plots that are resolved gradually throughout the game. If the detective invests enough time in the plot, he/she will be awarded victory points; otherwise, he will suffer penalties.&#10;&#10;The game ends when two in-game weeks (12 rounds) have passed. At that point, victory points are awarded based on the aforementioned sectors. The player with the most victory points is the winner.&#10;&#10;
Antike	2005	2	6	12	120	120	4337	From the publisher's website:&#10;Antike is a challenging strategy game about evolution and competition among ancient civilizations. Ancient nations create cities, build temples, sail the seas, and discover new principles of science and technology. Their legions and galleys open new settlements and defend their people against attacks from their enemies. Two scenarios can be chosen as the game board is two-sided. Players choose from Greeks, Romans, and Germanic tribes and Phoenicians, Carthaginians, Persians, Arabs, Egyptians, and Babylonians.&#10;&#10;Every nation tries to win ancient kings, scholars, generals, citizens, and navigators for themselves. The nation that acquires a specified number (depending on the number of players) of ancient personalities first will win the game!&#10;&#10;Lead one of these nations to victory! But watch out for your enemies, as they will want to conquer your cities to destroy your temples. The game depends not on the luck of dice or cards, but on thoughtful plans and skillful diplomacy.&#10;&#10;
Arkham Horror	2005	1	8	12	120	360	30727	&#10;        The year is 1926, and it is the height of the Roaring Twenties. Flappers dance till dawn in smoke-filled speakeasies drinking alcohol supplied by rum runners and the mob. It's a celebration to end all celebrations in the aftermath of the war to end all wars.&#10;&#10;&#10;&#10;        Yet a dark shadow grows in the city of Arkham. Alien entities known as Ancient Ones lurk in the emptiness beyond space and time, writhing at the gates between worlds. These gates have begun to open and must be closed before the Ancient Ones make our world their ruined domination.&#10;&#10;&#10;&#10;        Only a handful of investigators stand against the Arkham Horror.  Will they Prevail? &#10;&#10;&#10;Arkham Horror is a cooperative adventure game themed around H.P Lovecraft's Cthulhu Mythos. Players choose from 16 Investigators and take to the streets of Arkham. Before the game, one of the eight Ancient Ones is chosen and it's up to the Investigators to prevent it from breaking into our world. During the course of the game, players will upgrade their characters by acquiring skills, allies, items, weapons, and spells. It's up to the players to clean out the streets of Arkham by fighting many different types of monsters, but their main goal is to close portals to other dimensions that are opening up around town. With too many portals open the Ancient One awakens and the players only have one last chance to save the world. Defeat the Ancient One in combat!&#10;&#10;
Atlantis Rising	2012	2	6	13	60	60	777	In Atlantis Rising you are one of the citizens of the stricken island Atlantis. However, hope is not lost, a mystical portal of 10 components can be built and save the island and all its inhabitants, but fail to build it in time and the island will sink forever under the waves, lost to legend.&#10;&#10;Atlantis Rising is a fully co-operative game in which the players must race to create a cosmic gate before all of the island tiles have been destroyed. The gate's components are variable and determine the difficulty level of the game - Easy, Normal, Hard, or Cosmic. The players must also contend with the continually escalating threat of their Athenian enemies, who may destroy one or more island tiles each turn if insufficient Atlanteans are allocated to the island's protection.&#10;&#10;Each turn players can choose to place their Atlanteans in any of eight different areas - with placements closer to the sea being more rewarding, but subject to a higher risk of flooding (and the subsequent loss of the associated action).&#10;&#10;After placement of meeple but before gaining resources 'misfortune' cards are drawn per player indicating which areas of the island sink, any meeple stood there have a long swim back to shore and do nothing for their turn.&#10;&#10;Players have limited 'mystical energy' which they can use to predict or prevent certain misfortunes and cards are available from the libraries that offer powerful one time use effects.&#10;&#10;&#10;From the back of the box:&#10;&#10;Will you send your Atlanteans to mine the untapped veins of precious resources at the very tip of the island, hoping to reap great rewards before the oncoming waves smash into the shores? Or will you remain in the relative safety of the island&rsquo;s center, where resources have grown scarce? Perhaps you will tap into the power of the mystic energy source - the lifeforce of Atlantis and key to its advanced technology. You may even seek refuge in the vast libraries of the Lost City, hoping to find some tome which will lead to salvation for the doomed isle. Beware though - even as the island sinks into the sea, the Athenians continue to assault Atlantis, hoping to plunder its riches before it disappears beneath the waves.&#10;&#10;
Automobile	2009	3	5	12	120	120	4813	Automobile is a 3-5 player game that bears a modern setting when compared to most of Wallace&rsquo;s releases. Players are competing in the U.S. auto industry in the early 20th century, purchasing factories that turn out low-, medium- and high-valued vehicles, starting with the 1893 Duryea and moving through history from there.&#10;&#10;Each player knows a portion of the market demand each round and must make his purchasing and manufacturing decisions based on the information. Players can fund distributors across the country, but if they don&rsquo;t supply distributors with vehicles to sell, they go bankrupt, taking your investment with them.  Alternatively, players can drop the prices on their cars to move their market share, or even temporarily improve sales rates at the cost of research. Special action spaces are available that give a player a one-turn special ability with the actions provided by Ford, Durant, Kettering, and others somewhat related to their actual business history.&#10;&#10;As newer models make their way onto the market, they sell at the expense of the older models.  Older factories give inefficiency cubes as time passes, encouraging you to keep pace with technology.&#10;&#10;To get money, you need to build cars with your factories, but if you build more than there is demand they lose not only the money spend to make them, but gain inefficiency cubes that hurt them for the rest of the game. Whoever manages their car factories the best over this 120-150 minute game will win.&#10;&#10;
Awful Fantasy Adventures	2018	1	4	0	0	0	1	An adventure card game of awful proportions...&#10;&#10;Step into the pun-ridden realms of Awful Fantasy, where defecating dark lords and boob-faced aliens threaten to bring ruin and general un-comfortableness to the world.&#10;&#10;Awful Fantasy Adventures is a quick-playing and &quot;self-expanding&quot; cooperative card game. While the game's core components offer an easy-to-learn and fast-pace co-op experience, the included &quot;Adventure Packs&quot; not only expand the game, but modify the rulebook itself.&#10;&#10;Each player takes control of a ridiculous hero setting off to explore the world of Awful Fantasy and defeat the threats that seek to ruin it. Gameplay is quick and engaging; each player will take their turn by drawing a new threat card and attempting to overcome an existing threat in play. Players will have to overcome specific threats to complete their quest. Once all players complete their quest, the players are victorious! However, if even one hero succumbs to the threats before them, all players are defeated.&#10;&#10;The &quot;self-expanding&quot; nature of Awful Fantasy Adventures lets players expand and customize their game at their own pace. Each &quot;Adventure Pack&quot; contains new cards and new rules stickers to apply to the pages of the rules, introducing new powers and new dangers to the game. Play until you've mastered the game, and then crack open an adventure pack for fresh challenges and enticing rewards!&#10;&#10;
Batman: Gotham City Mystery	2003	2	5	8	45	45	67	In this game one player is a villain trying to collect 10 items to complete a nefarious scheme, and the other players play the four heroes (Batman, Robin, Batgirl, and Nightwing) who cooperate to prevent this.&#10;&#10;The villain player plays one of 10 characters (the Joker, Riddler, etc.).  The heroes do not know which villain is being played, and their object is to discover this.  Each villain needs a different set of 10 items, so by arresting the minions carrying the items the heroes can eventually determine who is the mastermind behind the crime wave.  A handy &quot;Bat-computer&quot; is provided which shows you who the possible villains are when the item cards are inserted.&#10;&#10;The gameplay involves rolling a die and moving your character (or multiple minions for the villain player) around the streets of Gotham, entering buildings to steal things or arresting people, depending on which side you're on.  A small deck of action cards spices things up a bit and allows for a bit more planning.&#10;&#10;
Batman: Gotham City Strategy Game	2013	2	4	14	60	60	675	Game description from the publisher:&#10;&#10;Behind the fa&ccedil;ade of the great Gotham City lies an active underworld of criminal activity. In Batman: Gotham City Strategy Game, you'll play as one of Gotham City's greatest villains &ndash; The Joker, The Penguin, Killer Croc, or Two-Face &mdash; and lead your gang of henchmen to try to become the King of Crime in Gotham City! But beware, as your hold on the city increases, so does the chance of your plans being foiled by Gotham's protector &ndash; Batman!&#10;&#10;During the game, players collect resources of information, money and threat; threat is used to exert your rule over blocks in Gotham City, and control of blocks allows you to collect income on these blocks of either information or money. Money is used for leveling and to hire henchmen who will help you rule city blocks and fight better against other villains and Batman. Information is used for leveling and moving your villain and henchmen through the city blocks. Leveling works as follows: Each villain has a combat dial with ten levels. Each click of the dial shows a requirement that you will need to advance to the next level: information, money, henchmen, or blocks controlled. The first player to reach level 10 with his villain wins. On every even number level, players will acquire special abilities unique to their villain.&#10;&#10;Each turn a player will play a Criminal Plot card which will either produce an income for the ruler of a certain block or trigger the Bat Signal, which calls in Batman! When Batman moves into a block with a Villain, a fight occurs using the two custom Batman dice included with the game. If Batman wins, the villain and his henchmen must flee to their hideout and Batman restores order in that block of Gotham City; if the villain wins, they have defeated Batman (for the time being) and Batman returns to the Batcave, increasing his combat effectiveness as he plans for the next encounter.&#10;&#10;
Batman: The Animated Series – 3D Board Game	1992	2	4	5	20	20	9	Batman has fallen asleep at his computer.  He dreams the cave has been invaded by criminals and Robin is in danger.  Your objective is to earn the highest score as you help Batman capture the villains and save Robin.&#10;&#10;
Battlestar Galactica	2008	3	6	10	120	300	26063	Battlestar Galactica: The Board Game is an exciting game of mistrust, intrigue, and the struggle for survival. Based on the epic and widely-acclaimed Sci Fi Channel series, Battlestar Galactica: The Board Game puts players in the role of one of ten of their favorite characters from the show. Each playable character has their own abilities and weaknesses, and must all work together in order for humanity to have any hope of survival. However, one or more players in every game secretly side with the Cylons. Players must attempt to expose the traitor while fuel shortages, food contaminations, and political unrest threatens to tear the fleet apart.&#10;&#10;After the Cylon attack on the Colonies, the battered remnants of the human race are on the run, constantly searching for the next signpost on the road to Earth. They face the threat of Cylon attack from without, and treachery and crisis from within. Humanity must work together if they are to have any hope of survival&hellip;but how can they, when any of them may, in fact, be a Cylon agent?&#10;&#10;Battlestar Galactica: The Board Game is a semi-cooperative game for 3-6 players ages 10 and up that can be played in 2-3 hours. Players choose from pilots, political leaders, military leaders, or engineers to crew Galactica. They are also dealt a loyalty card at the start of the game to determine if they are a human or Cylon along with an assortment of skill cards based on their characters abilities. Players then can move and take actions either on Galactica, on Colonial 1, or in a Viper. They need to collect skill cards, fend off Cylon ships, and keep Galactica and the fleet jumping. Each turn also brings a Crisis Card, various tasks that players must overcome. Players need to play matching skill cards to fend off the problems; skill cards that don't match hinder the players success. Fate could be working against the crew, or there could be a traitorous Cylon! As players get closer and closer towards reaching their Earth, another round of loyalty cards are passed out and more Cylons may turn up. If players can keep their up their food stores, fuel levels, ship morale, and population, and they can keep Galactica in one piece long enough to make it to Earth, the Humans win the game. But if the Cylon players reveal themselves at the right moment and bring down Galactica, the Humans have lost.&#10;&#10;Official Site, Rules &amp; FAQ: http://www.fantasyflightgames.com/edge_minisite_sec.asp?eidm=18&amp;esem=4&#10;Unofficial FAQ for really tricky questions: http://boardgamegeek.com/wiki/page/Battlestar_Galactica_FAQ&#10;&#10;
Battlestations	2004	2	8	12	240	240	905	In Battlestations, you and your friends each play the role of a crew member on a starship that faces whatever grief the Enemy player throws at you. You'll blast enemies, pull outrageous maneuvers, unlock the secrets of alien cultures, and crank the last bit of juice out of an overtaxed engine while trying not to get yourself, your crew, or your starship blown to bits in the process.&#10;&#10;In more detail, one player acts in the role of The Enemy and controls aliens, evil characters and any surprises that will come up. The other players take the role of starship crew. Players first build a ship with various tiles, with each tile representing a different location on a ship, such as a bridge, engine room, torpedo room, teleporter room, etc. Players can go to the appropriate room to take the designated action. At the same time, the game is played on a second board representing the space around the ship. The game is played in scenarios. The goal of the game is to complete the scenario specific mission. The crew will win, as a team, if the scenario goals are accomplished.&#10;&#10;
Battlestations: Second Edition	2017	1	6	12	60	240	12	Two obstacles to interstellar flight were solved in the 22nd Century: Hyperdrives to actually get us to other planets, and cloning technology to replace our bodies and brains from backups in the inevitable situation something goes wrong on the trip. Peacetime advancements released the vast resources of a sea of stars like a cosmic pi&ntilde;ata. We need capable explorers. The more dangers that present themselves, the more opportunities for lowly travelers to ascend to become true heroes. There's a lot of emergencies happening on board your starship. Will you be a hero when the time arises?&#10;&#10;Battlestations is a tabletop starship simulator &ndash; a multi-map board game that simultaneously features ship-action in space AND the events on board the ships involved in the conflicts. It is also a roleplaying game in which your characters grow throughout campaigns, picking up experience points, upgrades, and new abilities.&#10;&#10;The game rules are very simple but they allow for complex RPG-like imaginative choices like teleporting to an enemy ship, hacking their helm controls and steering their ship towards a black hole before ejecting yourself out the air lock. Inside the box is an infinity of alien worlds to explore, rickety spacecrafts to upgrade, and a rowdy crew of lifelong comrades to adventure with.&#10;&#10;One player takes on the role of &quot;the enemy&quot;, and works against the other players who are cooperating with each other.&#10;&#10;
Borderlands	1982	2	4	12	120	120	261	Trying to squeeze Diplomacy into a reasonable amount of time, Eon designed Borderlands to be a game where political wrangling is a must, and a free market society fuels the ambition for conquest.  Borderlands blends the conflict and deal-making elements from Diplomacy with resource management and inspired Settlers of Catan.&#10;&#10;The German edition of the game, Ascalion, contains elements from the two Borderlands expansions.&#10;&#10;Reimplemented by&#10;&#10;    Gearworld: The Borderlands&#10;&#10;&#10;&#10;&#10;
Boss Monster: The Dungeon Building Card Game	2013	2	4	13	20	20	8179	Inspired by a love of classic video games, Boss Monster: The Dungeon Building Card Game pits 2-4 players in a competition to build the ultimate side-scrolling dungeon. Players compete to lure and destroy hapless adventurers, racing to outbid one another to see who can build the most enticing, treasure-filled dungeon. The goal of Boss Monster is to be the first Boss to amass ten Souls, which are gained when a Hero is lured and defeated &mdash; but a player can lose if his Boss takes five Wounds from Heroes who survive his dungeon.&#10;&#10;Playing Boss Monster requires you to juggle two competing priorities: the need to lure Heroes at a faster rate than your opponents, and the need to kill those Heroes before they reach your Boss. Players can build one room per turn, each with its own damage and treasure value. More attractive rooms tend to deal less damage, so a Boss who is too greedy can become inundated with deadly Heroes.&#10;&#10;Players interact with each other by building rooms and playing Spells. Because different Heroes seek different treasure types, and rooms are built simultaneously (played face down, then revealed), this means that every &quot;build phase&quot; is a bidding war. Spells are instant-speed effects that can give players advantages or disrupt opponents.&#10;&#10;As a standalone card game with 155 cards, Boss Monster contains everything that 2-4 players need to play.&#10;&#10;
